14	14	1.0	23	1	0.0435	0.0
16	2	0.125	20	3	0.15	0.0
9	7	0.7778	28	8	0.2857	0.0
26	17	0.6538	32	4	0.125	0.0
32	6	0.1875	32	0	0.0	0.0
18	14	0.7778	39	7	0.1795	0.0
37	19	0.5135	42	3	0.0714	0.0
24	13	0.5417	44	2	0.0455	0.0
41	17	0.4146	45	1	0.0222	0.0
44	3	0.0682	43	2	0.0465	0.0
36	8	0.2222	81	38	0.4691	0.0
75	39	0.52	80	1	0.0125	0.0
48	27	0.5625	77	3	0.039	0.0
72	24	0.3333	78	1	0.0128	0.0
76	4	0.0526	78	0	0.0	0.0
60	16	0.2667	106	28	0.2642	0.0
102	42	0.4118	108	2	0.0185	0.0
72	30	0.4167	125	17	0.136	0.0
116	44	0.3793	124	1	0.0081	0.0
120	4	0.0333	122	2	0.0164	0.0
78	42	0.5385	138	16	0.1159	0.0
126	48	0.381	131	7	0.0534	0.0
96	30	0.3125	174	43	0.2471	0.0
146	50	0.3425	170	4	0.0235	0.0
161	15	0.0932	172	2	0.0116	0.0
119	42	0.3529	193	21	0.1088	0.0
185	66	0.3568	198	5	0.0253	0.0
153	32	0.2092	219	21	0.0959	0.0
207	54	0.2609	222	3	0.0135	0.0
199	8	0.0402	213	9	0.0423	0.0
170	29	0.1706	245	32	0.1306	0.0
237	67	0.2827	248	3	0.0121	0.0
180	57	0.3167	273	25	0.0916	0.0
257	77	0.2996	272	1	0.0037	0.0
270	13	0.0481	272	0	0.0	0.0
181	89	0.4917	285	13	0.0456	0.0
262	81	0.3092	281	4	0.0142	0.0
191	71	0.3717	308	27	0.0877	0.0
296	105	0.3547	311	3	0.0096	0.0
299	3	0.01	302	9	0.0298	0.0
214	85	0.3972	369	67	0.1816	0.0
351	137	0.3903	370	1	0.0027	0.0
254	97	0.3819	386	16	0.0415	0.0
367	113	0.3079	389	3	0.0077	0.0
381	14	0.0367	383	6	0.0157	0.0
253	128	0.5059	417	34	0.0815	0.0
401	148	0.3691	422	5	0.0118	0.0
265	136	0.5132	460	38	0.0826	0.0
434	169	0.3894	463	3	0.0065	0.0
448	14	0.0312	463	0	0.0	0.0
237	211	0.8903	466	3	0.0064	0.0
447	210	0.4698	468	2	0.0043	0.0
245	202	0.8245	547	79	0.1444	0.0
505	260	0.5149	535	12	0.0224	0.0
524	19	0.0363	545	10	0.0183	0.0
296	228	0.7703	635	90	0.1417	0.0
584	288	0.4932	629	6	0.0095	0.0
348	236	0.6782	673	44	0.0654	0.0
621	273	0.4396	681	8	0.0117	0.0
605	16	0.0264	679	2	0.0029	0.0
393	212	0.5394	740	61	0.0824	0.0
678	285	0.4204	718	22	0.0306	0.0
423	255	0.6028	756	38	0.0503	0.0
704	281	0.3991	756	0	0.0	0.0
735	31	0.0422	755	1	0.0013	0.0
455	280	0.6154	777	22	0.0283	0.0
723	268	0.3707	784	7	0.0089	0.0
462	261	0.5649	830	46	0.0554	0.0
776	314	0.4046	823	7	0.0085	0.0
799	23	0.0288	825	2	0.0024	0.0
439	360	0.82	822	3	0.0036	0.0
777	338	0.435	830	8	0.0096	0.0
493	284	0.5761	846	16	0.0189	0.0
805	312	0.3876	868	22	0.0253	0.0
853	48	0.0563	865	3	0.0035	0.0
524	329	0.6279	937	72	0.0768	0.0
881	357	0.4052	920	17	0.0185	0.0
551	330	0.5989	924	4	0.0043	0.0
860	309	0.3593	919	5	0.0054	0.0
889	29	0.0326	929	10	0.0108	0.0
560	329	0.5875	894	35	0.0391	0.0
834	274	0.3285	883	11	0.0125	0.0
565	269	0.4761	904	21	0.0232	0.0
764	199	0.2605	910	6	0.0066	0.0
872	108	0.1239	910	0	0.0	0.0
641	231	0.3604	881	29	0.0329	0.0
831	190	0.2286	902	21	0.0233	0.0
670	161	0.2403	924	22	0.0238	0.0
826	156	0.1889	890	34	0.0382	0.0
