Matches,SubMatches,GradientMatches,Keypoint,SubKeypoint,GradientKeypoint,Class
34,0,0.0,51,4,0.0784,0
41,2,0.0488,41,12,0.2927,0
37,5,0.1351,58,7,0.1207,0
41,0,0.0,63,10,0.1587,0
42,3,0.0714,58,5,0.0862,0
45,0,0.0,61,2,0.0328,0
52,1,0.0192,61,11,0.1803,0
56,4,0.0714,65,8,0.1231,0
52,2,0.0385,59,10,0.1695,0
47,3,0.0638,54,6,0.1111,0
55,5,0.0909,65,2,0.0308,0
52,4,0.0769,59,10,0.1695,0
45,5,0.1111,57,14,0.2456,0
42,3,0.0714,60,3,0.05,0
45,2,0.0444,56,0,0.0,0
48,7,0.1458,54,6,0.1111,0
51,7,0.1373,74,16,0.2162,0
48,3,0.0625,70,7,0.1,0
56,4,0.0714,65,0,0.0,0
52,5,0.0962,63,2,0.0317,0
48,1,0.0208,52,9,0.1731,0
45,3,0.0667,54,2,0.037,0
33,0,0.0,42,2,0.0476,0
42,2,0.0476,50,5,0.1,0
39,3,0.0769,48,5,0.1042,0
37,4,0.1081,48,3,0.0625,0
39,9,0.2308,44,6,0.1364,0
39,3,0.0769,51,5,0.098,0
39,1,0.0256,50,8,0.16,0
46,10,0.2174,54,1,0.0185,0
35,5,0.1429,49,1,0.0204,0
44,0,0.0,52,1,0.0192,0
45,1,0.0222,55,3,0.0545,0
46,5,0.1087,46,9,0.1957,0
43,1,0.0233,52,1,0.0192,0
46,8,0.1739,54,3,0.0556,0
47,2,0.0426,55,2,0.0364,0
49,2,0.0408,63,3,0.0476,0
47,4,0.0851,55,2,0.0364,0
41,4,0.0976,59,9,0.1525,0
50,10,0.2,63,0,0.0,0
55,7,0.1273,68,1,0.0147,0
49,8,0.1633,68,10,0.1471,0
49,2,0.0408,65,5,0.0769,0
47,3,0.0638,56,5,0.0893,0
44,2,0.0455,62,3,0.0484,0
44,0,0.0,61,4,0.0656,0
50,3,0.06,66,11,0.1667,0
59,9,0.1525,65,1,0.0154,0
0,0,0,18,18,1.0,0
8,8,1.0,15,2,0.1333,0
389,22,0.0566,472,3,0.0064,0
385,15,0.039,521,8,0.0154,0
361,20,0.0554,517,9,0.0174,0
382,8,0.0209,491,3,0.0061,0
422,1,0.0024,499,2,0.004,0
422,6,0.0142,498,24,0.0482,0
405,17,0.042,514,16,0.0311,0
401,8,0.02,503,15,0.0298,0
353,47,0.1331,481,38,0.079,0
362,50,0.1381,461,23,0.0499,0
384,8,0.0208,486,12,0.0247,0
384,0,0.0,499,13,0.0261,0
399,44,0.1103,495,22,0.0444,0
387,16,0.0413,480,17,0.0354,0
411,5,0.0122,489,13,0.0266,0
416,20,0.0481,486,9,0.0185,0
442,9,0.0204,529,8,0.0151,0
406,36,0.0887,506,23,0.0455,0
416,40,0.0962,497,9,0.0181,0
407,5,0.0123,484,3,0.0062,0
411,25,0.0608,527,4,0.0076,0
387,10,0.0258,500,9,0.018,0
405,20,0.0494,493,1,0.002,0
426,13,0.0305,512,1,0.002,0
457,22,0.0481,526,18,0.0342,0
387,28,0.0724,519,5,0.0096,0
412,37,0.0898,495,21,0.0424,0
439,61,0.139,476,17,0.0357,0
424,6,0.0142,499,13,0.0261,0
405,9,0.0222,474,22,0.0464,0
412,15,0.0364,507,16,0.0316,0
382,57,0.1492,484,36,0.0744,0
428,6,0.014,492,14,0.0285,0
382,19,0.0497,503,7,0.0139,0
387,5,0.0129,509,3,0.0059,0
390,3,0.0077,523,14,0.0268,0
399,1,0.0025,493,10,0.0203,0
430,6,0.014,516,12,0.0233,0
403,27,0.067,493,23,0.0467,0
403,27,0.067,515,16,0.0311,0
414,4,0.0097,520,2,0.0038,0
422,13,0.0308,499,2,0.004,0
400,15,0.0375,512,19,0.0371,0
407,26,0.0639,513,18,0.0351,0
365,12,0.0329,482,2,0.0041,0
402,43,0.107,485,13,0.0268,0
406,6,0.0148,491,14,0.0285,0
374,22,0.0588,488,13,0.0266,0
369,46,0.1247,474,14,0.0295,0
361,3,0.0083,454,22,0.0485,0
376,6,0.016,448,5,0.0112,0
356,22,0.0618,475,6,0.0126,0
365,11,0.0301,452,29,0.0642,0
390,11,0.0282,506,11,0.0217,0
413,23,0.0557,515,9,0.0175,0
396,17,0.0429,517,2,0.0039,0
399,5,0.0125,517,4,0.0077,0
378,45,0.119,512,24,0.0469,0
400,2,0.005,491,37,0.0754,0
391,12,0.0307,507,9,0.0178,0
385,5,0.013,487,1,0.0021,0
352,21,0.0597,503,15,0.0298,0
322,39,0.1211,448,43,0.096,0
381,23,0.0604,602,48,0.0797,0
342,5,0.0146,542,44,0.0812,0
367,25,0.0681,541,1,0.0018,0
226,14,0.0619,296,6,0.0203,0
228,17,0.0746,293,12,0.041,0
3,224,74.6667,283,2,0.0071,1
2,1,0.5,2,0,0.0,0
6,2,0.3333,10,3,0.3,0
8,2,0.25,15,7,0.4667,0
8,0,0.0,8,7,0.875,0
6,0,0.0,10,4,0.4,0
1,7,7.0,244,235,0.9631,1
483,26,0.0538,554,19,0.0343,0
481,2,0.0042,554,0,0.0,0
491,35,0.0713,544,9,0.0165,0
440,1,0.0023,539,12,0.0223,0
455,35,0.0769,538,7,0.013,0
478,23,0.0481,536,32,0.0597,0
480,8,0.0167,541,1,0.0018,0
514,26,0.0506,553,3,0.0054,0
9,506,56.2222,214,341,1.5935,1
14,7,0.5,7,7,1.0,0
34,8,0.2353,57,5,0.0877,0
42,2,0.0476,61,6,0.0984,0
52,7,0.1346,59,17,0.2881,0
44,0,0.0,73,5,0.0685,0
54,2,0.037,69,9,0.1304,0
51,1,0.0196,84,13,0.1548,0
38,2,0.0526,58,5,0.0862,0
33,5,0.1515,55,3,0.0545,0
36,3,0.0833,53,2,0.0377,0
34,6,0.1765,68,17,0.25,0
58,12,0.2069,75,16,0.2133,0
43,15,0.3488,92,17,0.1848,0
71,21,0.2958,91,3,0.033,0
110,19,0.1727,124,4,0.0323,0
180,3,0.0167,197,16,0.0812,0
200,15,0.075,209,2,0.0096,0
194,4,0.0206,206,3,0.0146,0
212,8,0.0377,226,7,0.031,0
216,3,0.0139,232,3,0.0129,0
228,1,0.0044,230,1,0.0043,0
221,0,0.0,222,1,0.0045,0
220,2,0.0091,221,1,0.0045,0
220,1,0.0045,220,1,0.0045,0
220,0,0.0,221,1,0.0045,0
222,1,0.0045,223,1,0.0045,0
224,0,0.0,224,0,0.0,0
224,0,0.0,224,0,0.0,0
224,0,0.0,224,0,0.0,0
224,0,0.0,224,0,0.0,0
210,4,0.019,217,10,0.0461,0
7,5,0.7143,20,7,0.35,0
60,12,0.2,101,20,0.198,0
115,4,0.0348,139,1,0.0072,0
103,15,0.1456,137,1,0.0073,0
22,14,0.6364,46,6,0.1304,0
16,6,0.375,37,9,0.2432,0
50,14,0.28,69,13,0.1884,0
4,1,0.25,5,0,0.0,0
3,1,0.3333,5,0,0.0,0
166,2,0.012,210,7,0.0333,0
167,1,0.006,222,12,0.0541,0
183,0,0.0,231,8,0.0346,0
195,1,0.0051,254,6,0.0236,0
188,15,0.0798,239,11,0.046,0
191,3,0.0157,239,0,0.0,0
204,14,0.0686,253,13,0.0514,0
215,12,0.0558,235,2,0.0085,0
205,1,0.0049,247,10,0.0405,0
172,9,0.0523,210,7,0.0333,0
177,5,0.0282,225,15,0.0667,0
112,6,0.0536,145,3,0.0207,0
117,2,0.0171,139,5,0.036,0
107,0,0.0,129,1,0.0078,0
81,4,0.0494,103,11,0.1068,0
82,1,0.0122,103,0,0.0,0
68,6,0.0882,83,8,0.0964,0
62,1,0.0161,75,2,0.0267,0
43,13,0.3023,60,3,0.05,0
53,3,0.0566,65,5,0.0769,0
53,1,0.0189,52,15,0.2885,0
58,1,0.0172,67,1,0.0149,0
48,0,0.0,61,5,0.082,0
48,2,0.0417,58,2,0.0345,0
53,4,0.0755,61,0,0.0,0
54,6,0.1111,60,2,0.0333,0
50,4,0.08,67,7,0.1045,0
59,3,0.0508,68,5,0.0735,0
49,10,0.2041,55,13,0.2364,0
61,3,0.0492,68,1,0.0147,0
52,4,0.0769,60,3,0.05,0
57,1,0.0175,61,4,0.0656,0
52,4,0.0769,60,6,0.1,0
53,3,0.0566,62,2,0.0323,0
48,1,0.0208,63,3,0.0476,0
50,1,0.02,64,5,0.0781,0
50,7,0.14,67,10,0.1493,0
42,1,0.0238,56,3,0.0536,0
54,3,0.0556,71,6,0.0845,0
48,4,0.0833,57,6,0.1053,0
46,1,0.0217,58,2,0.0345,0
51,2,0.0392,59,0,0.0,0
62,8,0.129,71,2,0.0282,0
50,12,0.24,66,7,0.1061,0
53,3,0.0566,65,1,0.0154,0
59,3,0.0508,71,4,0.0563,0
53,5,0.0943,66,2,0.0303,0
48,2,0.0417,59,3,0.0508,0
44,6,0.1364,60,1,0.0167,0
54,3,0.0556,67,0,0.0,0
61,2,0.0328,72,2,0.0278,0
61,6,0.0984,67,7,0.1045,0
52,6,0.1154,59,11,0.1864,0
54,2,0.037,64,2,0.0312,0
51,1,0.0196,57,1,0.0175,0
53,3,0.0566,65,2,0.0308,0
52,1,0.0192,62,4,0.0645,0
53,2,0.0377,66,6,0.0909,0
56,3,0.0536,64,2,0.0312,0
56,5,0.0893,68,4,0.0588,0
53,3,0.0566,60,7,0.1167,0
51,8,0.1569,64,7,0.1094,0
46,1,0.0217,55,2,0.0364,0
50,4,0.08,68,11,0.1618,0
48,5,0.1042,61,4,0.0656,0
52,2,0.0385,62,3,0.0484,0
56,3,0.0536,65,7,0.1077,0
54,2,0.037,72,8,0.1111,0
54,1,0.0185,66,8,0.1212,0
52,3,0.0577,69,10,0.1449,0
50,3,0.06,59,2,0.0339,0
55,5,0.0909,67,8,0.1194,0
61,0,0.0,70,6,0.0857,0
58,0,0.0,66,2,0.0303,0
57,1,0.0175,67,1,0.0149,0
56,5,0.0893,71,13,0.1831,0
55,3,0.0545,62,1,0.0161,0
45,4,0.0889,56,3,0.0536,0
38,1,0.0263,49,3,0.0612,0
44,8,0.1818,51,14,0.2745,0
48,4,0.0833,56,2,0.0357,0
46,5,0.1087,54,7,0.1296,0
55,5,0.0909,60,1,0.0167,0
49,2,0.0408,58,3,0.0517,0
59,10,0.1695,65,4,0.0615,0
49,1,0.0204,53,3,0.0566,0
38,10,0.2632,47,4,0.0851,0
47,5,0.1064,53,1,0.0189,0
35,4,0.1143,46,5,0.1087,0
30,1,0.0333,33,9,0.2727,0
31,7,0.2258,39,5,0.1282,0
21,2,0.0952,27,5,0.1852,0
19,1,0.0526,24,0,0.0,0
21,2,0.0952,22,2,0.0909,0
6,0,0.0,7,1,0.1429,0
1,5,5.0,2,5,2.5,0
32,6,0.1875,273,74,0.2711,0
25,3,0.12,156,68,0.4359,0
81,17,0.2099,316,43,0.1361,0
75,6,0.08,304,12,0.0395,0
8,5,0.625,71,138,1.9437,0
11,3,0.2727,31,18,0.5806,0
21,8,0.381,163,7,0.0429,0
24,4,0.1667,228,62,0.2719,0
1,2,2.0,12,0,0.0,0
552,12,0.0217,861,17,0.0197,0
585,12,0.0205,892,33,0.037,0
593,5,0.0084,846,24,0.0284,0
533,13,0.0244,883,27,0.0306,0
558,83,0.1487,915,38,0.0415,0
491,2,0.0041,698,37,0.053,0
454,5,0.011,676,20,0.0296,0
465,26,0.0559,665,24,0.0361,0
248,1,0.004,398,14,0.0352,0
245,3,0.0122,378,20,0.0529,0
189,2,0.0106,285,4,0.014,0
192,0,0.0,283,29,0.1025,0
171,7,0.0409,284,11,0.0387,0
182,6,0.033,277,11,0.0397,0
167,10,0.0599,259,9,0.0347,0
183,19,0.1038,416,16,0.0385,0
173,2,0.0116,392,8,0.0204,0
306,22,0.0719,537,21,0.0391,0
604,45,0.0745,988,43,0.0435,0
648,5,0.0077,965,2,0.0021,0
641,7,0.0109,964,1,0.001,0
690,40,0.058,1041,26,0.025,0
606,13,0.0215,1004,26,0.0259,0
693,20,0.0289,955,29,0.0304,0
626,81,0.1294,1014,23,0.0227,0
753,13,0.0173,963,12,0.0125,0
784,4,0.0051,1006,8,0.008,0
698,3,0.0043,920,42,0.0457,0
655,59,0.0901,946,39,0.0412,0
725,28,0.0386,949,16,0.0169,0
14,711,50.7857,2009,1060,0.5276,1
153,12,0.0784,249,12,0.0482,0
173,20,0.1156,301,52,0.1728,0
226,53,0.2345,303,2,0.0066,0
6,270,45.0,1047,699,0.6676,1
80,9,0.1125,121,24,0.1983,0
89,1,0.0112,134,9,0.0672,0
88,3,0.0341,165,12,0.0727,0
92,6,0.0652,176,12,0.0682,0
53,6,0.1132,103,6,0.0583,0
42,7,0.1667,94,12,0.1277,0
40,8,0.2,111,19,0.1712,0
383,21,0.0548,522,3,0.0057,0
451,25,0.0554,661,9,0.0136,0
463,6,0.013,714,3,0.0042,0
627,18,0.0287,934,51,0.0546,0
697,16,0.023,952,3,0.0032,0
712,40,0.0562,984,25,0.0254,0
722,14,0.0194,1044,2,0.0019,0
768,26,0.0339,1070,3,0.0028,0
749,46,0.0614,1046,38,0.0363,0
808,27,0.0334,1091,4,0.0037,0
828,59,0.0713,1121,47,0.0419,0
759,69,0.0909,1045,76,0.0727,0
737,22,0.0299,1098,53,0.0483,0
769,32,0.0416,1041,57,0.0548,0
706,33,0.0467,1021,8,0.0078,0
760,7,0.0092,1023,16,0.0156,0
773,18,0.0233,1002,2,0.002,0
775,33,0.0426,1027,38,0.037,0
784,9,0.0115,1011,16,0.0158,0
643,18,0.028,938,30,0.032,0
622,0,0.0,876,19,0.0217,0
651,49,0.0753,1000,23,0.023,0
733,3,0.0041,1012,64,0.0632,0
744,10,0.0134,1091,29,0.0266,0
742,2,0.0027,1106,15,0.0136,0
763,2,0.0026,1135,45,0.0396,0
793,31,0.0391,1157,5,0.0043,0
749,44,0.0587,1165,8,0.0069,0
722,21,0.0291,1077,8,0.0074,0
722,7,0.0097,1054,6,0.0057,0
744,25,0.0336,1058,25,0.0236,0
756,14,0.0185,1084,11,0.0101,0
773,8,0.0103,1128,9,0.008,0
847,24,0.0283,1151,43,0.0374,0
804,13,0.0162,1162,18,0.0155,0
626,22,0.0351,942,38,0.0403,0
624,26,0.0417,956,22,0.023,0
580,28,0.0483,944,7,0.0074,0
545,13,0.0239,887,4,0.0045,0
520,50,0.0962,818,44,0.0538,0
505,15,0.0297,814,4,0.0049,0
572,4,0.007,919,36,0.0392,0
575,5,0.0087,925,30,0.0324,0
532,6,0.0113,834,52,0.0624,0
477,17,0.0356,681,26,0.0382,0
435,24,0.0552,672,10,0.0149,0
465,6,0.0129,677,12,0.0177,0
461,10,0.0217,687,5,0.0073,0
488,17,0.0348,731,42,0.0575,0
384,28,0.0729,631,6,0.0095,0
156,6,0.0385,253,7,0.0277,0
174,7,0.0402,284,34,0.1197,0
197,23,0.1168,298,14,0.047,0
361,23,0.0637,587,1,0.0017,0
441,20,0.0454,700,31,0.0443,0
601,1,0.0017,827,22,0.0266,0
604,6,0.0099,828,19,0.0229,0
557,29,0.0521,786,15,0.0191,0
529,3,0.0057,780,7,0.009,0
550,27,0.0491,777,12,0.0154,0
462,20,0.0433,740,24,0.0324,0
482,17,0.0353,736,21,0.0285,0
469,10,0.0213,787,7,0.0089,0
478,21,0.0439,792,32,0.0404,0
443,39,0.088,728,13,0.0179,0
408,3,0.0074,726,19,0.0262,0
531,11,0.0207,834,11,0.0132,0
330,8,0.0242,539,3,0.0056,0
180,5,0.0278,493,57,0.1156,0
446,42,0.0942,694,5,0.0072,0
362,8,0.0221,646,15,0.0232,0
403,25,0.062,697,8,0.0115,0
230,85,0.3696,509,109,0.2141,0
51,11,0.2157,109,18,0.1651,0
17,11,0.6471,94,26,0.2766,0
110,19,0.1727,286,76,0.2657,0
113,49,0.4336,310,7,0.0226,0
18,1,0.0556,89,2,0.0225,0
34,6,0.1765,84,3,0.0357,0
25,2,0.08,56,6,0.1071,0
88,7,0.0795,136,4,0.0294,0
65,21,0.3231,144,7,0.0486,0
136,17,0.125,215,31,0.1442,0
106,1,0.0094,209,4,0.0191,0
66,8,0.1212,108,38,0.3519,0
41,11,0.2683,84,17,0.2024,0
0,0,0,2,2,1.0,0
896,3,0.0033,1140,6,0.0053,0
871,25,0.0287,1128,12,0.0106,0
894,9,0.0101,1093,4,0.0037,0
928,13,0.014,1092,2,0.0018,0
829,7,0.0084,1080,38,0.0352,0
12,817,68.0833,340,740,2.1765,1
67,3,0.0448,112,3,0.0268,0
210,11,0.0524,335,5,0.0149,0
225,5,0.0222,392,47,0.1199,0
282,3,0.0106,371,18,0.0485,0
281,1,0.0036,372,1,0.0027,0
262,4,0.0153,380,27,0.0711,0
278,16,0.0576,373,7,0.0188,0
300,22,0.0733,393,13,0.0331,0
303,29,0.0957,394,5,0.0127,0
307,3,0.0098,381,14,0.0367,0
293,10,0.0341,393,6,0.0153,0
301,11,0.0365,372,3,0.0081,0
284,14,0.0493,401,0,0.0,0
308,1,0.0032,401,3,0.0075,0
302,13,0.043,400,4,0.01,0
274,1,0.0036,397,17,0.0428,0
272,9,0.0331,413,10,0.0242,0
282,6,0.0213,409,19,0.0465,0
243,33,0.1358,414,6,0.0145,0
250,18,0.072,413,12,0.0291,0
215,14,0.0651,401,25,0.0623,0
194,5,0.0258,353,37,0.1048,0
211,4,0.019,383,8,0.0209,0
200,10,0.05,381,21,0.0551,0
227,33,0.1454,341,35,0.1026,0
160,18,0.1125,290,6,0.0207,0
156,9,0.0577,303,6,0.0198,0
172,17,0.0988,336,20,0.0595,0
190,9,0.0474,313,28,0.0895,0
130,0,0.0,250,9,0.036,0
157,2,0.0127,279,11,0.0394,0
185,11,0.0595,318,9,0.0283,0
176,16,0.0909,288,7,0.0243,0
175,8,0.0457,299,4,0.0134,0
237,16,0.0675,355,3,0.0085,0
251,2,0.008,399,17,0.0426,0
227,7,0.0308,334,11,0.0329,0
233,5,0.0215,326,18,0.0552,0
225,8,0.0356,358,32,0.0894,0
240,6,0.025,312,59,0.1891,0
245,19,0.0776,342,23,0.0673,0
238,7,0.0294,337,5,0.0148,0
220,1,0.0045,324,4,0.0123,0
230,5,0.0217,317,23,0.0726,0
229,9,0.0393,336,18,0.0536,0
213,15,0.0704,297,28,0.0943,0
176,13,0.0739,233,20,0.0858,0
175,21,0.12,312,14,0.0449,0
189,14,0.0741,315,3,0.0095,0
173,1,0.0058,272,23,0.0846,0
205,7,0.0341,335,13,0.0388,0
233,12,0.0515,387,19,0.0491,0
238,3,0.0126,350,15,0.0429,0
265,23,0.0868,365,0,0.0,0
248,16,0.0645,353,17,0.0482,0
238,1,0.0042,322,19,0.059,0
222,8,0.036,317,10,0.0315,0
213,10,0.0469,346,18,0.052,0
244,9,0.0369,353,19,0.0538,0
241,20,0.083,345,4,0.0116,0
260,24,0.0923,370,8,0.0216,0
198,11,0.0556,352,18,0.0511,0
195,11,0.0564,341,2,0.0059,0
202,7,0.0347,328,2,0.0061,0
194,4,0.0206,342,14,0.0409,0
203,9,0.0443,370,28,0.0757,0
130,2,0.0154,194,4,0.0206,0
133,3,0.0226,199,5,0.0251,0
142,7,0.0493,247,37,0.1498,0
145,6,0.0414,226,25,0.1106,0
141,4,0.0284,210,16,0.0762,0
136,2,0.0147,209,2,0.0096,0
174,11,0.0632,246,9,0.0366,0
169,21,0.1243,227,13,0.0573,0
176,8,0.0455,255,21,0.0824,0
178,23,0.1292,269,7,0.026,0
170,8,0.0471,256,13,0.0508,0
195,4,0.0205,285,32,0.1123,0
196,1,0.0051,282,6,0.0213,0
201,1,0.005,264,28,0.1061,0
183,9,0.0492,276,11,0.0399,0
220,4,0.0182,344,17,0.0494,0
198,12,0.0606,284,17,0.0599,0
186,13,0.0699,307,3,0.0098,0
174,7,0.0402,284,9,0.0317,0
207,23,0.1111,322,6,0.0186,0
261,18,0.069,419,5,0.0119,0
233,19,0.0815,392,36,0.0918,0
257,12,0.0467,390,46,0.1179,0
216,2,0.0093,371,20,0.0539,0
243,14,0.0576,368,10,0.0272,0
257,14,0.0545,421,7,0.0166,0
274,29,0.1058,465,35,0.0753,0
285,12,0.0421,432,26,0.0602,0
280,14,0.05,481,14,0.0291,0
295,15,0.0508,499,18,0.0361,0
321,6,0.0187,472,1,0.0021,0
323,15,0.0464,440,79,0.1795,0
286,7,0.0245,430,48,0.1116,0
283,6,0.0212,451,2,0.0044,0
292,12,0.0411,468,32,0.0684,0
280,4,0.0143,469,2,0.0043,0
346,9,0.026,504,2,0.004,0
355,1,0.0028,503,2,0.004,0
362,3,0.0083,489,33,0.0675,0
338,10,0.0296,471,40,0.0849,0
252,23,0.0913,461,1,0.0022,0
230,9,0.0391,396,19,0.048,0
270,8,0.0296,456,17,0.0373,0
284,14,0.0493,453,3,0.0066,0
260,30,0.1154,415,10,0.0241,0
246,6,0.0244,461,11,0.0239,0
218,27,0.1239,421,27,0.0641,0
214,1,0.0047,397,2,0.005,0
214,1,0.0047,382,20,0.0524,0
217,3,0.0138,407,25,0.0614,0
203,14,0.069,410,3,0.0073,0
250,31,0.124,416,18,0.0433,0
229,8,0.0349,363,36,0.0992,0
270,8,0.0296,423,25,0.0591,0
286,19,0.0664,455,14,0.0308,0
319,7,0.0219,473,11,0.0233,0
305,15,0.0492,457,12,0.0263,0
316,5,0.0158,462,9,0.0195,0
318,2,0.0063,436,26,0.0596,0
281,37,0.1317,443,7,0.0158,0
262,18,0.0687,410,25,0.061,0
269,13,0.0483,367,9,0.0245,0
287,21,0.0732,338,32,0.0947,0
286,7,0.0245,380,11,0.0289,0
273,0,0.0,374,9,0.0241,0
292,16,0.0548,381,3,0.0079,0
268,2,0.0075,403,22,0.0546,0
245,15,0.0612,378,25,0.0661,0
292,20,0.0685,381,15,0.0394,0
303,8,0.0264,409,3,0.0073,0
278,25,0.0899,410,1,0.0024,0
283,18,0.0636,384,3,0.0078,0
292,9,0.0308,379,5,0.0132,0
282,9,0.0319,384,14,0.0365,0
301,9,0.0299,379,11,0.029,0
293,8,0.0273,369,10,0.0271,0
329,11,0.0334,382,5,0.0131,0
296,11,0.0372,378,2,0.0053,0
274,31,0.1131,406,5,0.0123,0
294,10,0.034,404,14,0.0347,0
300,15,0.05,405,25,0.0617,0
289,5,0.0173,364,13,0.0357,0
278,5,0.018,394,29,0.0736,0
341,14,0.0411,463,13,0.0281,0
283,6,0.0212,423,13,0.0307,0
288,28,0.0972,415,25,0.0602,0
298,4,0.0134,431,10,0.0232,0
308,12,0.039,414,18,0.0435,0
321,24,0.0748,425,12,0.0282,0
291,18,0.0619,430,19,0.0442,0
317,11,0.0347,380,31,0.0816,0
284,1,0.0035,411,24,0.0584,0
278,2,0.0072,381,12,0.0315,0
307,25,0.0814,414,18,0.0435,0
330,23,0.0697,442,11,0.0249,0
299,13,0.0435,411,19,0.0462,0
306,24,0.0784,451,4,0.0089,0
344,51,0.1483,467,46,0.0985,0
327,1,0.0031,440,0,0.0,0
348,13,0.0374,484,20,0.0413,0
324,3,0.0093,446,24,0.0538,0
346,8,0.0231,459,2,0.0044,0
336,21,0.0625,466,6,0.0129,0
318,15,0.0472,443,24,0.0542,0
320,2,0.0063,473,7,0.0148,0
306,17,0.0556,458,16,0.0349,0
336,29,0.0863,438,27,0.0616,0
284,34,0.1197,459,12,0.0261,0
298,4,0.0134,501,39,0.0778,0
304,7,0.023,474,2,0.0042,0
271,26,0.0959,410,19,0.0463,0
270,23,0.0852,435,27,0.0621,0
260,1,0.0038,453,23,0.0508,0
252,2,0.0079,449,19,0.0423,0
257,8,0.0311,422,1,0.0024,0
283,10,0.0353,434,27,0.0622,0
248,11,0.0444,400,16,0.04,0
249,14,0.0562,430,10,0.0233,0
236,19,0.0805,444,13,0.0293,0
292,43,0.1473,448,2,0.0045,0
289,20,0.0692,416,30,0.0721,0
275,14,0.0509,422,6,0.0142,0
240,27,0.1125,388,16,0.0412,0
204,9,0.0441,359,12,0.0334,0
183,10,0.0546,283,11,0.0389,0
168,8,0.0476,285,5,0.0175,0
178,0,0.0,316,16,0.0506,0
193,13,0.0674,331,9,0.0272,0
190,2,0.0105,305,4,0.0131,0
203,5,0.0246,331,17,0.0514,0
189,14,0.0741,318,33,0.1038,0
216,0,0.0,328,14,0.0427,0
237,12,0.0506,317,15,0.0473,0
233,1,0.0043,353,2,0.0057,0
234,11,0.047,348,4,0.0115,0
215,6,0.0279,325,18,0.0554,0
207,13,0.0628,314,14,0.0446,0
169,34,0.2012,279,4,0.0143,0
200,9,0.045,306,20,0.0654,0
193,9,0.0466,283,9,0.0318,0
190,18,0.0947,291,6,0.0206,0
207,21,0.1014,284,1,0.0035,0
193,14,0.0725,282,19,0.0674,0
205,13,0.0634,288,9,0.0312,0
199,4,0.0201,266,19,0.0714,0
208,13,0.0625,287,7,0.0244,0
222,15,0.0676,303,22,0.0726,0
175,7,0.04,299,7,0.0234,0
171,1,0.0058,279,2,0.0072,0
174,18,0.1034,275,2,0.0073,0
189,16,0.0847,286,2,0.007,0
166,8,0.0482,274,23,0.0839,0
212,15,0.0708,287,19,0.0662,0
175,1,0.0057,294,7,0.0238,0
192,5,0.026,289,18,0.0623,0
174,11,0.0632,274,12,0.0438,0
180,13,0.0722,313,19,0.0607,0
147,2,0.0136,279,29,0.1039,0
149,2,0.0134,272,7,0.0257,0
159,2,0.0126,283,17,0.0601,0
174,3,0.0172,270,22,0.0815,0
201,0,0.0,320,26,0.0813,0
195,6,0.0308,336,16,0.0476,0
207,6,0.029,388,41,0.1057,0
262,33,0.126,378,11,0.0291,0
98,10,0.102,208,16,0.0769,0
61,5,0.082,119,1,0.0084,0
455,17,0.0374,497,7,0.0141,0
477,41,0.086,516,14,0.0271,0
464,7,0.0151,503,6,0.0119,0
451,22,0.0488,498,22,0.0442,0
465,12,0.0258,502,3,0.006,0
431,2,0.0046,518,1,0.0019,0
433,21,0.0485,519,10,0.0193,0
466,19,0.0408,539,15,0.0278,0
18,468,26.0,28,490,17.5,1
588,15,0.0255,806,16,0.0199,0
348,24,0.069,586,10,0.0171,0
356,14,0.0393,575,21,0.0365,0
578,47,0.0813,1005,59,0.0587,0
561,13,0.0232,1076,36,0.0335,0
648,16,0.0247,1086,59,0.0543,0
727,37,0.0509,1086,2,0.0018,0
732,6,0.0082,1079,33,0.0306,0
914,49,0.0536,1115,1,0.0009,0
775,139,0.1794,1113,2,0.0018,0
770,56,0.0727,1051,2,0.0019,0
663,56,0.0845,1115,97,0.087,0
589,91,0.1545,1001,34,0.034,0
427,22,0.0515,715,55,0.0769,0
194,10,0.0515,434,13,0.03,0
184,15,0.0815,281,51,0.1815,0
165,2,0.0121,223,34,0.1525,0
139,5,0.036,209,5,0.0239,0
41,5,0.122,86,12,0.1395,0
30,11,0.3667,48,38,0.7917,0
9,3,0.3333,35,3,0.0857,0
29,2,0.069,54,3,0.0556,0
28,4,0.1429,47,9,0.1915,0
19,3,0.1579,30,1,0.0333,0
7,0,0.0,18,4,0.2222,0
7,0,0.0,22,11,0.5,0
16,9,0.5625,28,6,0.2143,0
18,0,0.0,46,8,0.1739,0
6,3,0.5,43,12,0.2791,0
13,7,0.5385,34,9,0.2647,0
12,3,0.25,25,10,0.4,0
29,7,0.2414,56,12,0.2143,0
49,5,0.102,104,8,0.0769,0
110,42,0.3818,150,2,0.0133,0
69,7,0.1014,138,15,0.1087,0
82,1,0.0122,139,6,0.0432,0
121,6,0.0496,170,9,0.0529,0
121,0,0.0,180,22,0.1222,0
113,7,0.0619,190,15,0.0789,0
114,25,0.2193,170,15,0.0882,0
131,19,0.145,161,1,0.0062,0
116,25,0.2155,149,14,0.094,0
118,2,0.0169,137,12,0.0876,0
97,6,0.0619,135,19,0.1407,0
98,12,0.1224,129,6,0.0465,0
78,17,0.2179,112,4,0.0357,0
76,10,0.1316,100,4,0.04,0
79,3,0.038,98,2,0.0204,0
82,1,0.0122,107,0,0.0,0
