Matches,SubMatches,GradientMatches,Keypoint,SubKeypoint,GradientKeypoint,Class
214,4,0.0187,276,17,0.0616,0
170,1,0.0059,274,24,0.0876,0
194,13,0.067,252,10,0.0397,0
161,7,0.0435,260,22,0.0846,0
170,9,0.0529,255,29,0.1137,0
190,3,0.0158,261,3,0.0115,0
191,0,0.0,243,12,0.0494,0
3,177,59.0,343,100,0.2915,1
513,513,1.0,879,38,0.0432,0
428,29,0.0678,765,52,0.068,0
294,49,0.1667,707,57,0.0806,0
316,11,0.0348,727,53,0.0729,0
12,304,25.3333,416,360,0.8654,1
210,15,0.0714,312,25,0.0801,0
5,184,36.8,74,237,3.2027,1
172,169,0.9826,293,50,0.1706,0
119,17,0.1429,240,7,0.0292,0
151,2,0.0132,263,12,0.0456,0
134,1,0.0075,288,7,0.0243,0
141,8,0.0567,245,19,0.0776,0
160,8,0.05,255,39,0.1529,0
141,25,0.1773,300,24,0.08,0
145,9,0.0621,279,23,0.0824,0
133,13,0.0977,248,16,0.0645,0
110,0,0.0,278,27,0.0971,0
268,10,0.0373,542,26,0.048,0
239,9,0.0377,523,9,0.0172,0
12,145,12.0833,294,88,0.2993,1
751,41,0.0546,1068,8,0.0075,0
748,16,0.0214,1088,38,0.0349,0
796,29,0.0364,1081,1,0.0009,0
807,3,0.0037,1052,2,0.0019,0
737,13,0.0176,962,74,0.0769,0
744,15,0.0202,1000,24,0.024,0
756,12,0.0159,972,28,0.0288,0
717,56,0.0781,1016,9,0.0089,0
739,25,0.0338,1010,23,0.0228,0
736,13,0.0177,1022,12,0.0117,0
735,15,0.0204,972,1,0.001,0
712,2,0.0028,995,42,0.0422,0
704,4,0.0057,1014,37,0.0365,0
742,36,0.0485,1009,2,0.002,0
812,3,0.0037,1232,9,0.0073,0
1044,11,0.0105,1487,18,0.0121,0
22,1100,50.0,1088,534,0.4908,1
201,41,0.204,377,10,0.0265,0
2,25,12.5,429,308,0.7179,1
97,45,0.4639,240,133,0.5542,0
10,101,10.1,242,221,0.9132,1
267,7,0.0262,366,42,0.1148,0
327,16,0.0489,382,8,0.0209,0
307,24,0.0782,373,6,0.0161,0
289,16,0.0554,343,17,0.0496,0
283,1,0.0035,340,17,0.05,0
285,5,0.0175,343,15,0.0437,0
270,7,0.0259,348,7,0.0201,0
262,6,0.0229,354,10,0.0282,0
6,256,42.6667,1099,745,0.6779,1
1098,6,0.0055,1478,9,0.0061,0
1116,20,0.0179,1423,88,0.0618,0
1006,37,0.0368,1426,17,0.0119,0
1073,83,0.0774,1493,33,0.0221,0
1110,37,0.0333,1490,3,0.002,0
938,99,0.1055,1346,19,0.0141,0
699,56,0.0801,1151,6,0.0052,0
732,45,0.0615,1077,20,0.0186,0
852,2,0.0023,1154,12,0.0104,0
785,2,0.0025,1068,6,0.0056,0
718,11,0.0153,1085,30,0.0276,0
688,60,0.0872,1052,10,0.0095,0
596,35,0.0587,850,22,0.0259,0
530,16,0.0302,832,71,0.0853,0
538,20,0.0372,796,9,0.0113,0
571,33,0.0578,820,24,0.0293,0
589,18,0.0306,809,21,0.026,0
529,15,0.0284,754,32,0.0424,0
551,5,0.0091,785,17,0.0217,0
546,27,0.0495,758,17,0.0224,0
